,state,action_space,reward,Q,action
994,"[2, 1]",l,0,6.561000000000002e-11,3
995,"[1, 1]",r,0,3.803195479876419e-06,2
996,"[2, 1]",d,0,0.0004990772072193747,1
997,"[2, 2]",r,0,0.010226629205854957,2
998,"[3, 2]",r,1,0.14854222890512436,2
999,"[0, 0]",r,0,1.5955590463569686e-08,2
1000,"[1, 0]",r,0,7.093870615105164e-07,2
1001,"[2, 0]",d,0,2.3424107650025993e-05,1
1002,"[2, 1]",u,0,2.1081696885023396e-07,0
1003,"[2, 0]",d,0,2.7681561438500106e-05,1
1004,"[2, 1]",d,0,0.0005861260979998755,1
1005,"[2, 2]",r,0,0.011461242973942527,2
1006,"[3, 2]",r,1,0.15705680661607313,2
1007,"[0, 0]",r,0,2.2180518112528635e-08,2
1008,"[1, 0]",r,0,9.514272438419122e-07,2
1009,"[2, 0]",d,0,3.2679880706113984e-05,1
1010,"[2, 1]",d,0,0.0006834160237853596,1
1011,"[2, 2]",r,0,0.01276014180374776,2
1012,"[3, 2]",r,1,0.1654862385499124,2
1013,"[0, 0]",r,0,3.052155812598056e-08,2
1014,"[1, 0]",l,0,2.7486929952929917e-10,3
1015,"[0, 0]",r,0,3.877918773929796e-08,2
1016,"[1, 0]",r,0,1.236031897758519e-06,2
1017,"[2, 0]",d,0,3.850382611312108e-05,1
1018,"[2, 1]",d,0,0.0007914231397812358,1
1019,"[2, 2]",u,0,8.900475767190286e-06,0
1020,"[2, 1]",d,0,0.0008983501846171533,1
1021,"[2, 2]",r,0,0.014121916532659495,2
1022,"[3, 2]",r,1,0.17383137616441327,2
1023,"[0, 0]",r,0,4.951568294173166e-08,2
1024,"[1, 0]",r,0,1.5702060137990235e-06,2
1025,"[2, 0]",d,0,4.620393951354425e-05,1
1026,"[2, 1]",d,0,0.0010164639315649172,1
1027,"[2, 2]",r,0,0.015545179752812619,2
1028,"[3, 2]",u,-1,-0.029701,0
1029,"[0, 0]",r,0,6.315238023650555e-08,2
1030,"[1, 0]",r,0,1.9703394092829316e-06,2
1031,"[2, 0]",d,0,5.489007550249306e-05,1
1032,"[2, 1]",d,0,0.0011462059100245817,1
1033,"[2, 2]",r,0,0.016954210340764213,2
1034,"[3, 2]",u,-1,-0.03940399,0
1035,"[0, 0]",r,0,8.025391111768688e-08,2
1036,"[1, 0]",r,0,2.44464669471254e-06,2
1037,"[2, 0]",d,0,6.465702793768937e-05,1
1038,"[2, 1]",d,0,0.0012873317439912138,1
1039,"[2, 2]",r,0,0.01834915062283629,2
1040,"[3, 2]",r,1,0.18209306240276912,2
1041,"[0, 0]",r,0,1.0145319225892287e-07,2
1042,"[1, 0]",r,0,3.002113479204619e-06,2
1043,"[2, 0]",d,0,7.55964433542334e-05,1
1044,"[2, 1]",d,0,0.0014396007821568283,1
1045,"[2, 2]",d,0,0.0,1
1046,"[2, 3]",u,0,0.00016514235560552662,0
1047,"[2, 2]",r,0,0.01980449667823285,2
1048,"[3, 2]",r,1,0.19027213177874144,2
1049,"[0, 0]",r,0,1.2745768164917522e-07,2
1050,"[1, 0]",d,0,3.4228759318887775e-08,1
1051,"[1, 1]",r,0,1.672157056448911e-05,2
1052,"[2, 1]",d,0,0.0016034452444393557,1
1053,"[2, 2]",r,0,0.021318900897459196,2
