,state,action_space,reward,Q,action
5130,"[0, 0]",r,0,-4.403781243884507e-05,2
5131,"[1, 0]",d,0,-0.0005165065613144468,1
5132,"[1, 1]",u,0,-8.738962457863751e-06,0
5133,"[1, 0]",l,0,-3.91562415019886e-05,3
5134,"[0, 0]",l,0,-4.183430228136001e-05,3
5135,"[0, 0]",l,0,-4.535443897923217e-05,3
5136,"[0, 0]",d,0,-0.00043329425562911675,1
5137,"[0, 1]",u,0,-7.1557481134909796e-06,0
5138,"[0, 0]",u,0,-4.353966212834373e-05,0
5139,"[0, 0]",u,0,-4.349612246621538e-05,0
5140,"[0, 0]",u,0,-4.345262634374917e-05,0
5141,"[0, 0]",u,0,-4.340917371740542e-05,0
5142,"[0, 0]",u,0,-4.336576454368802e-05,0
5143,"[0, 0]",u,0,-4.332239877914433e-05,0
5144,"[0, 0]",u,0,-4.32855151033025e-05,0
5145,"[0, 0]",r,0,-4.394984048797452e-05,2
5146,"[1, 0]",l,0,-3.915424872289844e-05,3
5147,"[0, 0]",u,0,-4.32422295881992e-05,0
5148,"[0, 0]",u,0,-4.3198987358611e-05,0
5149,"[0, 0]",u,0,-4.3155788371252384e-05,0
5150,"[0, 0]",u,0,-4.3112632582881134e-05,0
5151,"[0, 0]",u,0,-4.3069519950298254e-05,0
5152,"[0, 0]",u,0,-4.302645043034796e-05,0
5153,"[0, 0]",u,0,-4.298342397991761e-05,0
5154,"[0, 0]",u,0,-4.29404405559377e-05,0
5155,"[0, 0]",u,0,-4.289750011538176e-05,0
5156,"[0, 0]",u,0,-4.2854602615266376e-05,0
5157,"[0, 0]",u,0,-4.281174801265111e-05,0
5158,"[0, 0]",u,0,-4.276893626463846e-05,0
5159,"[0, 0]",u,0,-4.272616732837382e-05,0
5160,"[0, 0]",u,0,-4.268344116104544e-05,0
5161,"[0, 0]",u,0,-4.26407577198844e-05,0
5162,"[0, 0]",u,0,-4.259811696216452e-05,0
5163,"[0, 0]",u,0,-4.255551884520235e-05,0
5164,"[0, 0]",u,0,-4.251296332635715e-05,0
5165,"[0, 0]",u,0,-4.2470450363030795e-05,0
5166,"[0, 0]",u,0,-4.2427979912667765e-05,0
5167,"[0, 0]",u,0,-4.2385551932755096e-05,0
5168,"[0, 0]",u,0,-4.236988636424064e-05,0
5169,"[0, 0]",l,0,-4.528222356671801e-05,3
5170,"[0, 0]",u,0,-4.23275164778764e-05,0
5171,"[0, 0]",u,0,-4.228518896139852e-05,0
5172,"[0, 0]",u,0,-4.2242903772437124e-05,0
5173,"[0, 0]",u,0,-4.2228014746813216e-05,0
5174,"[0, 0]",l,0,-4.5209453463772154e-05,3
5175,"[0, 0]",u,0,-4.2201283163736855e-05,0
5176,"[0, 0]",r,0,-4.3862730321600864e-05,2
5177,"[1, 0]",l,0,-3.914251778414309e-05,3
5178,"[0, 0]",u,0,-4.2159081880573116e-05,0
5179,"[0, 0]",u,0,-4.211692279869254e-05,0
5180,"[0, 0]",u,0,-4.210263865187957e-05,0
5181,"[0, 0]",l,0,-4.8657007229796485e-05,3
5182,"[0, 0]",d,0,-0.000429025714805847,1
5183,"[0, 1]",u,0,-7.463114380222986e-06,0
5184,"[0, 0]",u,0,-4.206053601322769e-05,0
5185,"[0, 0]",u,0,-4.201847547721446e-05,0
5186,"[0, 0]",u,0,-4.197645700173725e-05,0
5187,"[0, 0]",u,0,-4.193448054473551e-05,0
5188,"[0, 0]",u,0,-4.189254606419077e-05,0
5189,"[0, 0]",u,0,-4.185065351812658e-05,0
5190,"[0, 0]",u,0,-4.180880286460845e-05,0
5191,"[0, 0]",u,0,-4.176699406174384e-05,0
5192,"[0, 0]",u,0,-4.17252270676821e-05,0
5193,"[0, 0]",u,0,-4.174588786207345e-05,0
5194,"[0, 0]",l,0,-4.854615014825718e-05,3
5195,"[0, 0]",u,0,-4.170414197421137e-05,0
5196,"[0, 0]",u,0,-4.166243783223716e-05,0
5197,"[0, 0]",u,0,-4.1620775394404925e-05,0
5198,"[0, 0]",u,0,-4.157915461901052e-05,0
5199,"[0, 0]",u,0,-4.153757546439151e-05,0
5200,"[0, 0]",u,0,-4.149603788892712e-05,0
5201,"[0, 0]",u,0,-4.145454185103819e-05,0
5202,"[0, 0]",u,0,-4.1413087309187154e-05,0
5203,"[0, 0]",u,0,-4.137167422187797e-05,0
5204,"[0, 0]",u,0,-4.13948728309935e-05,0
5205,"[0, 0]",l,0,-4.843324250225355e-05,3
5206,"[0, 0]",u,0,-4.1353477958162505e-05,0
5207,"[0, 0]",u,0,-4.131212448020434e-05,0
5208,"[0, 0]",u,0,-4.127081235572414e-05,0
5209,"[0, 0]",u,0,-4.122954154336842e-05,0
5210,"[0, 0]",u,0,-4.118831200182505e-05,0
5211,"[0, 0]",u,0,-4.1147123689823226e-05,0
5212,"[0, 0]",u,0,-4.11059765661334e-05,0
5213,"[0, 0]",u,0,-4.1064870589567266e-05,0
5214,"[0, 0]",u,0,-4.10238057189777e-05,0
5215,"[0, 0]",u,0,-4.098278191325872e-05,0
5216,"[0, 0]",u,0,-4.4434185527378754e-05,0
5217,"[0, 0]",d,0,-0.00042480262568721054,1
5218,"[0, 1]",u,0,-7.783247809315164e-06,0
5219,"[0, 0]",r,0,-4.377638567844214e-05,2
5220,"[1, 0]",l,0,-3.9145080077407635e-05,3
5221,"[0, 0]",r,0,-4.369092754235439e-05,2
5222,"[1, 0]",l,0,-3.914684762451475e-05,3
5223,"[0, 0]",r,0,-4.360633989555148e-05,2
5224,"[1, 0]",l,0,-3.9147836207329566e-05,3
5225,"[0, 0]",r,0,-4.352260702246193e-05,2
5226,"[1, 0]",l,0,-3.914806130845843e-05,3
5227,"[0, 0]",r,0,-4.773594000406733e-05,2
5228,"[1, 0]",d,0,-0.0005114201463634231,1
