,state,action_space,reward,Q,action
604,"[0, 1]",r,0,7.471758803601295e-05,2
605,"[1, 1]",r,0,0.0009151940140861074,2
606,"[2, 1]",l,0,1.0289763894969062e-05,3
607,"[1, 1]",r,0,0.0009881290608901728,2
608,"[2, 1]",d,0,0.009635145699954023,1
609,"[2, 2]",r,0,0.06977156130601643,2
610,"[3, 2]",r,1,0.3573883979152816,2
611,"[0, 0]",d,0,5.973102941693154e-06,1
612,"[0, 1]",r,0,8.286357370366438e-05,2
613,"[1, 1]",r,0,0.0010649640815808574,2
614,"[2, 1]",d,0,0.01016673829470863,1
615,"[2, 2]",r,0,0.0722903412741938,2
616,"[3, 2]",r,1,0.3638145139361288,2
617,"[0, 0]",d,0,6.659144075609202e-06,1
618,"[0, 1]",r,0,9.161961470085545e-05,2
619,"[1, 1]",r,0,0.0011458150854174265,2
620,"[2, 1]",d,0,0.010715683983229288,1
621,"[2, 2]",r,0,0.07484176848687703,2
622,"[3, 2]",r,1,0.3701763687967675,2
623,"[0, 0]",d,0,7.417129167160809e-06,1
624,"[0, 1]",r,0,0.00010101575432260374,2
625,"[1, 1]",r,0,0.0012307980904123158,2
626,"[2, 1]",d,0,0.011282103059778888,1
627,"[2, 2]",r,0,0.07742493812117916,2
628,"[3, 2]",r,1,0.3764746051087998,2
629,"[0, 0]",d,0,8.252099664392634e-06,1
630,"[0, 1]",r,0,0.00011108277959308855,2
631,"[1, 1]",r,0,0.0013200290370462026,2
632,"[2, 1]",d,0,0.011866106472271713,1
633,"[2, 2]",r,0,0.08003896018594657,2
634,"[3, 2]",r,1,0.3827098590577118,2
635,"[0, 0]",d,0,9.169323684086505e-06,1
636,"[0, 1]",r,0,0.00012185221313057349,2
637,"[1, 1]",r,0,0.001413623704926186,2
638,"[2, 1]",r,-1,-0.03940399,2
639,"[0, 0]",d,0,1.0174300365420801e-05,1
640,"[0, 1]",r,0,0.00013335630434360343,2
641,"[1, 1]",d,-1,-0.03940399,1
642,"[0, 0]",d,0,1.1272764100859025e-05,1
643,"[0, 1]",r,0,0.00014474535464450308,2
644,"[1, 1]",r,0,0.0015062824261273696,2
645,"[2, 1]",d,0,0.012467796049222515,1
646,"[2, 2]",r,0,0.08268295931560651,2
647,"[3, 2]",r,1,0.3888827604671347,2
648,"[0, 0]",d,0,1.2462744651650963e-05,1
649,"[0, 1]",l,0,1.307250094821831e-06,3
650,"[0, 1]",r,0,0.00015685444293320438,2
651,"[1, 1]",r,0,0.0016034297663090986,2
652,"[2, 1]",d,0,0.013087264722570748,1
653,"[2, 2]",r,0,0.08535607456665466,2
654,"[3, 2]",u,-1,-0.029701,0
655,"[0, 0]",d,0,1.3749807191533293e-05,1
656,"[0, 1]",r,0,0.00016971676640065422,2
657,"[1, 1]",l,0,1.527450897605888e-06,3
658,"[0, 1]",r,0,0.00018245046663342956,2
659,"[1, 1]",r,0,0.0017051808511491444,2
660,"[2, 1]",d,0,0.013724596746444932,1
661,"[2, 2]",r,0,0.08800245866519232,2
662,"[3, 2]",r,1,0.39499393286246337,2
663,"[0, 0]",l,0,1.314042723955891e-07,3
664,"[0, 0]",d,0,1.5254363319318827e-05,1
665,"[0, 1]",r,0,0.00019597258962743757,2
666,"[1, 1]",r,0,0.0018116504133556574,2
667,"[2, 1]",d,0,0.014379372906967215,1
668,"[2, 2]",r,0,0.09067737947430257,2
669,"[3, 2]",u,-1,-0.03940399,0
670,"[0, 0]",d,0,1.6865572992772576e-05,1
671,"[0, 1]",r,0,0.00021031771745136412,2
672,"[1, 1]",r,0,0.0019229482653848058,2
673,"[2, 1]",d,0,0.015051675593166265,1
674,"[2, 2]",r,0,0.09332555107532171,2
675,"[3, 2]",r,1,0.40104399353383874,2
676,"[0, 0]",d,0,1.8589776719907126e-05,1
677,"[0, 1]",r,0,0.00022552107466531374,2
678,"[1, 1]",r,0,0.002039183863069454,2
679,"[2, 1]",d,0,0.015741088796912498,1
680,"[2, 2]",r,0,0.09600169150637304,2
681,"[3, 2]",r,1,0.40703355359850035,2
682,"[0, 0]",d,0,2.0433568624695878e-05,1
683,"[0, 1]",r,0,0.00024161851868628568,2
684,"[1, 1]",r,0,0.0021604618236109718,2
685,"[2, 1]",d,0,0.016447693132500732,1
686,"[2, 2]",r,0,0.09870497657369581,2
687,"[3, 2]",r,1,0.41296321806251535,2
688,"[0, 0]",l,0,3.1399234729389614e-07,3
689,"[0, 0]",l,0,4.947545414432201e-07,3
690,"[0, 0]",d,0,2.240379960662549e-05,1
691,"[0, 1]",r,0,0.0002586464899119216,2
692,"[1, 1]",r,0,0.0022868864435673687,2
693,"[2, 1]",d,0,0.017171560990338987,1
694,"[2, 2]",l,-1,-0.0490099501,3
695,"[0, 0]",d,0,2.4507580019766528e-05,1
696,"[0, 1]",r,0,0.0002766420030049087,2
697,"[1, 1]",r,0,0.002418561628044746,2
698,"[2, 1]",d,0,0.01788819016959886,1
699,"[2, 2]",r,0,0.1014345957705215,2
700,"[3, 2]",r,1,0.4188335858818902,2
701,"[0, 0]",d,0,2.675228224661304e-05,1
702,"[0, 1]",r,0,0.00029564263762726234,2
703,"[1, 1]",r,0,0.0025553697232906882,2
704,"[2, 1]",d,0,0.018622219629837566,1
705,"[2, 2]",r,0,0.10418975208575329,2
706,"[3, 2]",r,1,0.4246452500230713,2
707,"[0, 0]",d,0,2.9145543162792273e-05,1
708,"[0, 1]",r,0,0.0003156845387606059,2
709,"[1, 1]",r,0,0.0026974160027263194,2
710,"[2, 1]",d,0,0.01937370520231097,1
711,"[2, 2]",r,0,0.1069696618151034,2
712,"[3, 2]",r,1,0.4303987975228406,2
713,"[0, 0]",u,0,2.637223493474056e-07,0
714,"[0, 0]",d,0,3.16952485800098e-05,1
715,"[0, 1]",r,0,0.0003368044373975367,2
716,"[1, 1]",r,0,0.002844805189519855,2
717,"[2, 1]",d,0,0.020142695106623792,1
718,"[2, 2]",r,0,0.10977355437465793,2
719,"[3, 2]",r,1,0.4360948095476122,2
720,"[0, 0]",d,0,3.4409536030787535e-05,1
721,"[0, 1]",r,0,0.00035903963972924003,2
722,"[1, 1]",r,0,0.0029976413935842703,2
723,"[2, 1]",d,0,0.020929230144929475,1
724,"[2, 2]",r,0,0.11260067211683986,2
725,"[3, 2]",l,0,0.00207745474509122,3
726,"[2, 2]",r,0,0.11539951868159996,2
727,"[3, 2]",r,1,0.44173386145213606,2
728,"[0, 0]",d,0,3.729679742804282e-05,1
729,"[0, 1]",r,0,0.00038242801587420606,2
